authorId,firstName,lastName
50109638,Zhiqiang,Yang
49521243,E.,Pfaff
2022436971,Analco,Cisneros
2084162517,Gerardo,
2022436928,B.,Luzardo
89538154,B.,Maria
87679602,Rojas,Garcia
2166907523,R.,Adelaido
121796413,M.,Peralta
2022439474,A.,Los
120009147,Sánchez,Santillán
2096947904,Paulino,
2005170561,Filiberto,Magadan Olmedo
2355025466,L.,José
143811573,S.,Hafner
2101296245,A.,Rammohun
12767413,K.,Studnicka
49024062,C.,Talbot
2232552802,Akhil,Arava
3387336,Venkata,Reddy Palleti
49055821,N.,Telfer
2260069868,Ammar,Tariq
2264209482,Yueqi,Zhao
2263664217,Adnan,Munir
2240114249,Peilin,Cui
2240171279,Zhenyu,Liu
2074676278,Caroline,A Mulvaney
48356889,Kevin,Galbraith
28730968,K.,Webster
2261272761,Mridul,Rana
2261264994,Rachel,Connolly
2856007,T.,Marom
2261272541,M.,Daniel
4653392,R.,Venekamp
2241917784,Anne,G M Schilder
3066738,S.,MacKeith
123873028,Zuhair,Abbas
27742224,Rasa,Smaliukienė
101717653,R.,Zámečník
2141152303,Ghulam,Kalsoom
119482893,Elona,Çera
2374847697,A.,Kazanskaia
2094067797,W.,Scott
2061637910,G.,Baer
50729192,K.,Christoff
2255038010,J.,Kelly
145965161,R.,Tateishi
36118330,K.,Koike
102210788,N.,H. Dahalan
2260500071,Rahimi,A. Rahman
2268098824,Siti,Hafizan Hassan
95834233,S.,W. Ahmad
2366213909,Othman,Ibrahim
2416353695,Issa,Tanash
2416352408,Ahmed,Ismail Al Ma'ani
2284272563,Ran,Liu
1712234153,Meili,Liu
2379876736,John,Troy Gamil
2354479202,Gloria,Cunanan
2365179298,Yulia,Kharina Ashar
2373915689,Putri,Safira
2325279225,A.,Lauchan
2305789550,Pierre-François,Staub
2191861009,M.,Salomon
4006009,A.,Assoumani
2336852162,Adeline,Blard-Zakar
2233683942,Merryana,Marhanah Oktavianry
2090560285,Y.,Yunita
2083174018,E.,Roviati
122867007,Ani,Faujiah
5707596,M.,Blicharska
5526114,P.,Rönnbäck
41156914,K.,Ravhuhali
2384481251,Masingita,Makamu
2328513171,S.,Naidoo
2384482056,Sanele,Zuma
2118609684,Samkelisiwe,Mvelase
2262006511,T.,Ntuli
2384486752,Xolani,Shandu
2384482501,Vusani,Myeni
2117336212,Z.,Buthelezi
2384490562,Siphumelele,Mlambo
2384482855,Pumeza,Hlanganyana
123415450,Siyabonga,Mbanjwa
2384482161,Jessica,Thompson-Pillay
2384486698,Sathee,Devi Rambally
2384480700,Muzi,Phoswa
2384482015,Sbusiso,Mchunu
2384486743,Ntobeko,Zondi
2273286634,Radiya,Gangat
2283940957,Poncho,Phafane
13514723,Thembekile,Zwane
2384490636,Hellen,Netshivhumbe
2384484709,Emelda,Ramutshila
2329534818,M.,Mabona
84050223,Velile,Ngidi
2304182032,Leigh,Johnston
2283942798,Babongile,Mhlongo
6520290,L.,Kuonza
145298798,S.,Fuentes
30772377,E.,Tongson
21058844,R.,Unnithan
13288046,Claudia,Gonzalez Viejo
2205758120,Rebecca,Matangaidze
3502250,Aspinas,Chapwanya
22234959,M.,Adnane
2374225556,Mandivamba,Rukuni
2374225095,G.,B. Nyamushamba
2047246532,N.,Nayak
2109204342,Prashant,Singh
2028960934,Raghvendra,Sharma
2028956002,S.,Gupta
4779172,C.,Gandhoke
2109670621,A.,Sharma
2200207999,S.,Al-Mansoori
