from,to,type
0000546f25f279d04c478b81c98816f8eead362b,c0095cb94a1dc7b5af6f8c356f62d9da3666a64c,CITES
0000546f25f279d04c478b81c98816f8eead362b,6ba6d494745c731ffb85a3e4b2eb498b175ef6ed,CITES
0000546f25f279d04c478b81c98816f8eead362b,eabaa6504b3db95a762b89a99cadc6de1e301cb1,CITES
0000546f25f279d04c478b81c98816f8eead362b,6698fe8788b59376ec0a1e2e66defa9fdb49035e,CITES
0000546f25f279d04c478b81c98816f8eead362b,87f83fef54758705858d792d90fe645b98103c0e,CITES
0000546f25f279d04c478b81c98816f8eead362b,0ddc82cd66eb1bff7ce666d1c6e2fb6489acf823,CITES
0000546f25f279d04c478b81c98816f8eead362b,21a6ffd2b12391351b2fce7c7e3613482bba9c52,CITES
0000546f25f279d04c478b81c98816f8eead362b,669105f58ff0ecaf57d620cd375cea006b94c0d9,CITES
0000546f25f279d04c478b81c98816f8eead362b,811056171cd10e7f367e8801816855034e725cb0,CITES
0000546f25f279d04c478b81c98816f8eead362b,e5d09831391476d5316ba82ffeca27e81e93d8b9,CITES
0000546f25f279d04c478b81c98816f8eead362b,066d563b11ae0feb42a7c0d10946d37da3661cfe,CITES
0000546f25f279d04c478b81c98816f8eead362b,5f3806bddca2a13243347144728a1addf54008f7,CITES
0000546f25f279d04c478b81c98816f8eead362b,4a22b1f3d567fdbd07143afbc1fd24954f529538,CITES
0000546f25f279d04c478b81c98816f8eead362b,ca9cfab9d3de268496779c72549a40766fb87518,CITES
0000546f25f279d04c478b81c98816f8eead362b,c490c7bfe99089bab0c2d4a4effa25b6b53eac7c,CITES
0000546f25f279d04c478b81c98816f8eead362b,23d4d8642eb44a9e992fe6fc0b478d09c36aa95e,CITES
0000546f25f279d04c478b81c98816f8eead362b,67e30fbaeb2d55402a922ca3c610f8896e8180bb,CITES
0000546f25f279d04c478b81c98816f8eead362b,4b027b26248fcd674789c885b253b336302d2f95,CITES
0000546f25f279d04c478b81c98816f8eead362b,a099b7313359bf0baf298aa6a9008f298a2059fd,CITES
0000546f25f279d04c478b81c98816f8eead362b,379ffd011c11510b0ea4bf6b1940f7f5603af6c6,CITES
0000546f25f279d04c478b81c98816f8eead362b,e76e3bb079a7c50a20aa0f31f0e4c6ddb1725094,CITES
0000546f25f279d04c478b81c98816f8eead362b,348f8b16106d92c86c622feb78c2eac3fad1dafa,CITES
0000546f25f279d04c478b81c98816f8eead362b,43d974e80183739e8889abb6638c52ba6cc0c7d4,CITES
0000546f25f279d04c478b81c98816f8eead362b,1389d762bf64eeb158f1ac905c3a376385f498cb,CITES
0000546f25f279d04c478b81c98816f8eead362b,2ab761993c1747f4f948bda1b49c1381324751b4,CITES
0000546f25f279d04c478b81c98816f8eead362b,3f99f268a65485c77adfcebb8de0454cfe1f9a2a,CITES
0000546f25f279d04c478b81c98816f8eead362b,cd7f8cd06f0ac923f7582e0d0b97f5f1ff57bbe1,CITES
0000546f25f279d04c478b81c98816f8eead362b,74d4e2e953768f8139ea2fb187f450833f175b7b,CITES
0000546f25f279d04c478b81c98816f8eead362b,fb35ff75f802b0ca1d02ebdc9f249d16e421bdec,CITES
0000546f25f279d04c478b81c98816f8eead362b,f602030eec0c1018fa115dd990aaa21c27a0270f,CITES
0000546f25f279d04c478b81c98816f8eead362b,08765c459fb565cab43e708ea832f1b6fc1b4bf7,CITES
0000546f25f279d04c478b81c98816f8eead362b,eecb5d669b581f6c0bfdabc3da678a709e624a7f,CITES
0000546f25f279d04c478b81c98816f8eead362b,207ebe532fe120376537dd740114f81473fef150,CITES
0000546f25f279d04c478b81c98816f8eead362b,40f19037649ed22d087970586208b13f147ca202,CITES
0000546f25f279d04c478b81c98816f8eead362b,cd755f7fcedafbf68a3924d2bf3aa9179f915310,CITES
0000546f25f279d04c478b81c98816f8eead362b,a8c48ef6fc45e3a4f6d5ae924070972e0d8ee2f5,CITES
0000546f25f279d04c478b81c98816f8eead362b,96837a70e898fc1afc80a25e54aa7d54cd4922a9,CITES
0000546f25f279d04c478b81c98816f8eead362b,32e132d987650d6f0803a3325757ceebcd065ac8,CITES
0000546f25f279d04c478b81c98816f8eead362b,42f2485cd2981a3bf1267e403ec838aaf3286f32,CITES
0000546f25f279d04c478b81c98816f8eead362b,2b71e394a0d3325ddb5a7a55c603a6adae143d4c,CITES
0000546f25f279d04c478b81c98816f8eead362b,fe23ed2886b33adbfd7e4df4718deceb1d5ce571,CITES
0000546f25f279d04c478b81c98816f8eead362b,bb185d2c01d17dc5fc352d31f23c5fb8d6867809,CITES
0000546f25f279d04c478b81c98816f8eead362b,7b9601a49cd09b22f171ea07113ef932eadea6d2,CITES
0000546f25f279d04c478b81c98816f8eead362b,0baf40f0e8d8e9735db43f4e635691a670c58e2f,CITES
0000546f25f279d04c478b81c98816f8eead362b,b935aa3d5f23445fa5ed22e69971b01c46baa189,CITES
0000546f25f279d04c478b81c98816f8eead362b,bf16a0ce1c420170b554c95f0198652d916f8866,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,0db0c6872d1a1bc5fe5ae7a9fd0957f3c6701fa5,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,e0b57ba19a90e06476ce771a9a92528907d649a9,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,0542d488d4be07efe2dd9412c2c3225d6e8bb1ff,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,5d4f2cb61b999a6ff8486f24a8401cdf7938f521,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,d63898997336d10e2df594c8d7bf8f6cee2b2d5b,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,7eff42c59741f0fd16a8c826b36fa35091e0714a,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,443ba9a4d95f4d90a06b451e6309f71f86d5e67e,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,c32d58dddcf854790ea4c6a005d9471adbd2e8a7,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,c3cf094be47d12efc941c011203e884692543185,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,541c5aafeae87c6b8f2aa2f4c453d5cb8728eeae,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,9279746d4eddc48de5e8e8c6e8f9e6cf5b06f446,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,0414b7d54a439cd3e2bbb54fa0a89a69a4e5e6c8,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,30fa48cbb7cd2ea310cfc1fa2d8acb36dc0211da,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,1b43fd9e12fe015b8bd8bdb377960b86cf97e27b,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,594d70e3c3795753d3fbc0857ad4bec76d40b392,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,045b6ea455839ddb289778f3a7f91f6abd3d0218,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,1c3489123de2f2fed6508ba32e8a56d31a91c024,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,3f4a619f595eb842d897e766de941401e6cedffd,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,4876f44081714feeccde9b695589e549facdc1f9,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,91313567df7eb9bd60bf23d29586de66cde4588d,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,ef4fca728505041c09a908fe57a24a52da8497e4,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,160dd6e958bd182be8c9746c08d52fd4f9dab57e,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,7c91b936d491d70042f8eaf6ba7b2d74f953d0d8,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,1aef05e50d17ecfa835d37082314542c149b8b48,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,f7058b7228e6cd3df93df54eb15a588e4c85ffc4,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,4ca9a607efef3f3b355cd90ae6fc01ad36e85348,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,434713d08223abf6bb7eef1a39b6d9e035ce9ba4,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,ed151e7fded10a830a76c4d233bf0fbcf21bab6d,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,736f5ff6902f235267837a69c033652ad080462a,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,49f6af35b27b85a8df919f84bdb916c14d872d00,CITES
00006187176b1520d7faa97689a7dfb54c3f16af,de9aae40bf13a421063d2e86c9d8b8ee65290966,CITES
0000ab137807092da510ef2899ef60686860e84a,f61ee6e6dabf6b6d915a1876512fcd6f6176eff9,CITES
0000ab137807092da510ef2899ef60686860e84a,8fcbc2c25ef608787a44d15199d8f72f8421b809,CITES
0000ab137807092da510ef2899ef60686860e84a,e2eb9dccf6484ec1aa155e032337ae08c47f20ba,CITES
0000ab137807092da510ef2899ef60686860e84a,2b430a8b9051e576fa49463d065dbac6815c6d3b,CITES
0000ab137807092da510ef2899ef60686860e84a,608c943f7ad52f33e0f74308fe671e3cef451633,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,58bbb9d3677aea5863c0fce35eb4160bd90d1587,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,9bff3b066b917f1e736e2a1d49afb15fb4256298,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,5690c586df3445b71c72097b7bb0c6b3897c459c,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,e955071c66f8f224a26d27ed39178862bc3c86a2,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,167ec8a58068ef81b0f26bd832291fca1ff8623c,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,77c26adf771652befe6ac4a3c62f03b92caed457,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,73d160be37021f18b97b61ef8d5ef02ee6ac7c16,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,7a37a403908c3be282d29485de5388ace11c12fe,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,8f59c08ed92416d72e063887975a71983abf9a04,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,f6a70541ad4608703a4e83be0bc67cbb597cb8e0,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,f5ed2fda34d0c21107f03dfaef2bd1c8b53f1474,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,0c5dec556d16d81848d777e32b895661d692233d,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,0287807ece65a1ecc8fd2fe4907ad4dfb3e9011b,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,d12718b0df5abf7128b5a25737a67f49ed4ff3ff,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,eec3c109fdfb535c70922fb51e410fc92049b68e,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,1762674f5b90c9593969ddf47f06b94b21154441,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,b1e030391c15c534963bfb4d91b5948b6e38265a,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,69eff7fa3882561b1b82c3326f1ec95f121f0fca,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,a325fc8b013a95cc8aef9537fd3720fff7ee9945,CITES
000110d34a7ec8774acd757217a6bd8dd68801e4,ea22e8c3cc0853dc0e95795b100acbb99bc59a0f,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,a882f15b246c39419354ccb0f53d6cabe8626fe9,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,764369789a2ccd0d1b2f480f72d094d56ae77c53,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,89b191b593bf6c405cc3206097bd9f17963b541f,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,ff851c507a73a61b4810be8492d0ff85acd33514,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,aea266d1d66f01c9141385a7e1baf6d1599dcae9,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,895de4a78547d6bc2d4f7f3ec7bc91d33f650cc0,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,1ab3a6a10fd474ca08f2880b788d7c4ee0ee6049,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,9052546ae898fcb51a57d07d0dc31387e32b3cb4,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,bb6189f8113a2eea9c6b2bc30b5aacf4b8328a69,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,16a3272ea991e3505d5e072712a52b1df8529a8a,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,389a053f44bf21324f1898d79d1499b318b6abab,CITES
0001147c55f3dc487d3a561bff8f0bbcb84f6468,78a90fc96998f9d8729d34141693445a90ab6beb,CITES
